Store_name,Category,Latitude,Longitude,City
More,supermarket,12.9120746,77.6480039,Bengaluru
Midas Daily,supermarket,12.9716124,77.7117564,Bengaluru
Country Grocer,supermarket,12.9221927,77.6651955,Bengaluru
Star Bazaar,supermarket,13.0517758,77.5939389,Bengaluru
Namdhari's Fresh,supermarket,13.0271472,77.5791256,Bengaluru
Chalukya,supermarket,12.9871351,77.578442,Bengaluru
Farm & Co.,supermarket,12.9197052,77.5841121,Bengaluru
Lulu Hypermarket,supermarket,12.8884506,77.5633076,Bengaluru
Organic Bharat,supermarket,13.0027891,77.5502811,Bengaluru
Simpli Namdhari's,supermarket,13.1090384,77.5803302,Bengaluru
Simpli Namdhari's,supermarket,13.0244058,77.5941852,Bengaluru
Simpli Namdhari's,supermarket,13.0628823,77.5940591,Bengaluru
Simpli Namdhari's,supermarket,12.9706509,77.6464433,Bengaluru
Simpli Namdhari's,supermarket,12.9699406,77.6097071,Bengaluru
K-Food Antenna Shop,supermarket,13.0163701,77.6473761,Bengaluru
Nadumuttam,supermarket,13.049933,77.6453644,Bengaluru
DMart,supermarket,12.975895,77.5774641,Bengaluru
Real mart,supermarket,12.9529477,77.657206,Bengaluru
